Role,Link,Location,Salary,Summary,H1B,Company
Human Resources Coordinator,https://boards.greenhouse.io/spacex/jobs/7477594002?gh_jid=7477594002,"Hawthorne, CA","est. $56,000 - $62,000 per year","Human Resources Coordinator position at SpaceX in Hawthorne, California. Requires a Bachelor's degree and 6+ months of administrative experience. Responsibilities include employee onboarding, HRIS administration, and supporting HR initiatives. Skills in HR policies, customer service, and software like Workday preferred.",FALSE,Spacex
Integration Technician (F9 Subassembly),https://boards.greenhouse.io/spacex/jobs/7563072002?gh_jid=7563072002,"Hawthorne, CA","est. $45,760 - $79,040 per year","Integration Technician at SpaceX in Hawthorne, California. Requires skills in mechanical assembly and avionics integration with 1+ years of experience in hardware assembly. Full-time position in the aerospace industry.",FALSE,Spacex
Structures Technician (F9 Subassembly) - 2nd Shift,https://boards.greenhouse.io/spacex/jobs/7565051002?gh_jid=7565051002,"Hawthorne, CA","est. $45,760 - $79,040 per year","Structures Technician position at SpaceX in Hawthorne, California requiring 1+ years of assembly experience and a high school diploma. Full-time role with responsibilities including modification, repair, assembly, and installation of rocket and spacecraft components.",FALSE,Spacex
Structures Technician (Falcon),https://boards.greenhouse.io/spacex/jobs/7550395002?gh_jid=7550395002,"Hawthorne, CA","est. $45,760 - $79,040 per year","Structures Technician position at SpaceX in Hawthorne, California. Requires high school diploma, 1+ years experience in hardware assembly, and skills in using tools and interpreting engineering drawings. Full-time role in aerospace industry.",FALSE,Spacex
Early Years Teacher,https://boards.greenhouse.io/guidepostmontessori/jobs/6118108,Downtown Naperville,"est. $35,000 - $55,000 per year","Early Years Teacher position in Downtown Naperville, focusing on nurturing toddlers in a Montessori environment. Requires experience with children ages 0-3 and a Bachelor's degree. Offers opportunities for Montessori training and professional development.",FALSE,Guidepost Montessori
Infant Assistant Guide,https://boards.greenhouse.io/guidepostmontessori/jobs/6110638,"Rockville, Maryland","est. $37,000 - $41,000 per year","Infant Assistant Guide position in Rockville, Maryland, requiring a Bachelor's Degree and experience with infants. Offers competitive salary, professional development, and benefits including tuition discounts.",FALSE,Guidepost Montessori
Infant Assistant Teacher,https://boards.greenhouse.io/guidepostmontessori/jobs/6114734,"Santa Clarita, CA","est. $34,320 - $37,440 per year","Infant Assistant Teacher position at Guidepost Montessori in Santa Clarita, California. Responsibilities include supporting a mixed-age class of infants in a Montessori environment. Requires experience with children ages 0-3 and ECE units.",FALSE,Guidepost Montessori
Infant Baby Teacher,https://boards.greenhouse.io/guidepostmontessori/jobs/6123391,"Evanston, IL","est. $35,000 - $50,000 per year","Infant Baby Teacher position at Guidepost Montessori in Evanston, Illinois. Seeking candidates with experience in early childhood education, particularly in Montessori environments. Full-time role with opportunities for professional development.",FALSE,Guidepost Montessori
Infant Child Care Teacher,https://boards.greenhouse.io/guidepostmontessori/jobs/6114848,"Ellicott City, Maryland","$40,000 - $45,000 per year","Infant Child Care Teacher position in Ellicott City, Maryland, requiring experience with children ages 0-3, Montessori training, and a passion for child development. Full-time role with a salary range of $40,000 - $45,000 per year.",FALSE,Guidepost Montessori
Infant Daycare Teacher,https://boards.greenhouse.io/guidepostmontessori/jobs/6123443,"Edgewater, Chicago, IL","est. $35,000 - $50,000 per year","Infant Daycare Teacher position in Edgewater, Chicago, IL. Seeking candidates with experience in early childhood education and familiarity with Montessori methods. Full-time role with opportunities for career growth and a supportive work environment.",FALSE,Guidepost Montessori
Infant Lead Teacher,https://boards.greenhouse.io/guidepostmontessori/jobs/6125850,"Parker, CO","est. $40,000 - $45,000 per year","Infant Lead Teacher position in Parker, Colorado at Guidepost Montessori. Requires experience with children ages 0-3 and interest in Montessori education. Full-time role with potential for professional growth.",FALSE,Guidepost Montessori
Infant Teacher,https://boards.greenhouse.io/guidepostmontessori/jobs/6133251,"Rockville, Maryland","est. $37,000 - $41,000 per year","Infant Teacher position in Rockville, Maryland, requiring a Bachelor's degree and experience in early childhood education. Montessori diploma preferred. Full-time role with excellent benefits including paid time off and professional development opportunities.",FALSE,Guidepost Montessori
Toddler Lead Teacher,https://boards.greenhouse.io/guidepostmontessori/jobs/6126600,"Laurel Oak, NJ ","est. $40,000 - $60,000 per year","Lead Teacher position in Laurel Oak, New Jersey for Early Childhood Educators passionate about Montessori education. Requires experience with toddlers, ability to foster independence, and a collaborative spirit. Full-time role with professional development opportunities.",FALSE,Guidepost Montessori
Toddler Teacher,https://boards.greenhouse.io/guidepostmontessori/jobs/6133305,"Waldorf, MD","est. $35,000 - $50,000 per year","Toddler Teacher position at Guidepost Montessori in Waldorf, Maryland. Seeking enthusiastic and dedicated individuals to support preschool age children in a Montessori classroom. No prior experience required, as Montessori Diploma program is offered.",FALSE,Guidepost Montessori
Heavy Equipment Technician (Mechanic) Apprentice,https://www.equipmentshare.com/careers/openings/?gh_jid=6114325,"Richmond, VA","est. $40,000 - $60,000 per year","Heavy Equipment Technician Apprentice position in Richmond, Virginia requiring mechanical aptitude, knowledge of construction equipment, and customer service skills. Full-time role with opportunities for training and advancement.",FALSE,EquipmentShare
Heavy Equipment Technician (Mechanic) Apprentice,https://www.equipmentshare.com/careers/openings/?gh_jid=6114324,"Richmond, VA","est. $40,000 - $60,000 per year","Heavy Equipment Technician Apprentice position in Richmond, Virginia, requiring mechanical aptitude and knowledge of construction equipment. Full-time role with opportunities for training and advancement.",FALSE,EquipmentShare
 Photojournalist,https://job-boards.greenhouse.io/tegnainc/jobs/4358687007,WTIC WCCT-TV Hartford,"est. $42,000 - $47,000 per year","Photojournalist position at WTIC-TV in Hartford, requiring skills in video editing, communication, and teamwork. Experience with Edius and Adobe Creative Cloud is preferred. Full-time role with flexible hours.",FALSE,Tegna Inc
Make Ready - North Star,https://job-boards.greenhouse.io/assetliving/jobs/5163269004,"Dallas, TX","est. $30,000 - $50,000 per year","Make Ready position at Asset Living in Dallas, Texas. Responsibilities include community maintenance, customer service, and supporting maintenance processes. Requires experience in property maintenance and strong customer service skills.",FALSE,Asset Living
Porter - Trinity Grove,https://job-boards.greenhouse.io/assetliving/jobs/5207251004,"Beaumont, TX","est. $25,000 - $35,000 per year","Porter position at Asset Living in Beaumont, Texas. Responsibilities include community maintenance, customer service, and support for maintenance processes. Full-time role in the property management industry.",FALSE,Asset Living
BAYADA Employment Inquiry,https://jobs.bayada.com/en/jobs?gh_jid=7564170002,"Dover, DE 19901 | 39.154775745 | -75.516464902","est. $50,000 - $70,000 per year","BAYADA Home Health Care is hiring nurses (RNs, LPNs, new grads) and therapists (OTs, PTs, SLPs, new grads) for multiple locations in Delaware. Positions available are FULL TIME, PART TIME, or PRN. Flexible schedules and one-on-one care provided.",,BAYADA Home Health Care
BAYADA Employment Inquiry,https://jobs.bayada.com/en/jobs?gh_jid=7564170002,"Dover, DE 19901 | 39.154775745 | -75.516464902","est. $50,000 - $70,000 per year","BAYADA Home Health Care is hiring nurses (RNs, LPNs, new grads) and therapists (OTs, PTs, SLPs, new grads) for multiple locations in Delaware. Positions available are FULL TIME, PART TIME, or PRN. Flexible schedules and one-on-one care provided.",,BAYADA Home Health Care
BAYADA Employment Inquiry,https://jobs.bayada.com/en/jobs?gh_jid=7564170002,"Dover, DE 19901 | 39.154775745 | -75.516464902","est. $50,000 - $70,000 per year","BAYADA Home Health Care is hiring nurses (RNs, LPNs, new grads) and therapists (OTs, PTs, SLPs, new grads) for multiple locations in Delaware. Positions available are FULL TIME, PART TIME, or PRN. Flexible schedules and one-on-one care provided.",,BAYADA Home Health Care
BAYADA Employment Inquiry,https://jobs.bayada.com/en/jobs?gh_jid=7564170002,"Dover, DE 19901 | 39.154775745 | -75.516464902","est. $50,000 - $70,000 per year","BAYADA Home Health Care is hiring nurses (RNs, LPNs, new grads) and therapists (OTs, PTs, SLPs, new grads) for multiple locations in Delaware. Positions available are FULL TIME, PART TIME, or PRN. Flexible schedules and one-on-one care provided.",,BAYADA Home Health Care
Caregiver/ Direct Support Professional,https://jobs.bayada.com/en/jobs?gh_jid=7430744002,"Philadelphia, PA 19124 | 40.017675163 | -75.088320546","est. $30,000 - $40,000 per year","Caregiver/Direct Support Professional position in Philadelphia, Pennsylvania. Requires one year of experience working with individuals with intellectual or developmental disabilities. Full-time role in the healthcare industry, offering benefits such as paid training, flexible scheduling, and a supportive work environment.",FALSE,BAYADA Home Health Care
Caregiver/DSP- Direct Support Professional,https://jobs.bayada.com/en/jobs?gh_jid=6646527002,"Philadelphia, PA 19135","est. $30,000 - $40,000 per year","Caregiver/DSP - Direct Support Professional position in Philadelphia, Pennsylvania. Requires one year of experience with individuals with intellectual or developmental disabilities and a high school diploma. Full-time role in healthcare with flexible scheduling.",FALSE,BAYADA Home Health Care
Caregiver/DSP- Direct Support Professional,https://jobs.bayada.com/en/jobs?gh_jid=6646527002,"Philadelphia, PA 19135","est. $30,000 - $40,000 per year","Caregiver/DSP - Direct Support Professional position in Philadelphia, Pennsylvania. Requires one year of experience with individuals with intellectual or developmental disabilities and a high school diploma. Full-time role in healthcare with flexible scheduling.",FALSE,BAYADA Home Health Care
Certified Home Health Aide,https://jobs.bayada.com/en/jobs?gh_jid=7567865002,"Hyannis, MA 02601 | 41.654098348 | -70.296091585","est. $30,000 - $40,000 per year","Certified Home Health Aide position in Hyannis, Massachusetts. Requires at least one year of experience and certification. Full-Time or Part-Time with comprehensive benefits and flexible scheduling.",FALSE,BAYADA Home Health Care
Certified Nursing Assistant,https://jobs.bayada.com/en/jobs?gh_jid=7444883002,"Philadelphia, PA 19124 | 40.017675163 | -75.088320546","est. $30,000 - $40,000 per year","Certified Nursing Assistant position in Philadelphia, Pennsylvania. Requires at least one year of experience, PA Aide Registry listing, and strong communication skills. Full-time hours on weekends.",FALSE,BAYADA Home Health Care
Certified Nursing Assistant (CNA) or Home Health Aide (HHA) - Pediatrics,https://jobs.bayada.com/en/jobs?gh_jid=7567618002,"Altoona, PA 16601 | 40.523761694 | -78.400621403","est. $30,000 - $40,000 per year","Certified Nursing Assistant (CNA) or Home Health Aide (HHA) position in Altoona, Pennsylvania. Requires experience with pediatric clients, flexible scheduling, and a valid CNA license. Company offers weekly pay and a supportive work environment.",FALSE,BAYADA Home Health Care
Certified Nursing Assistant (CNA) or Home Health Aide (HHA) - Pediatrics,https://jobs.bayada.com/en/jobs?gh_jid=7567618002,"Altoona, PA 16601 | 40.523761694 | -78.400621403","est. $30,000 - $40,000 per year","Certified Nursing Assistant (CNA) or Home Health Aide (HHA) position in Altoona, Pennsylvania. Requires experience with pediatric clients, flexible scheduling, and a valid CNA license. Company offers weekly pay and a supportive work environment.",FALSE,BAYADA Home Health Care
Certified Nursing Assistant (CNA) or Home Health Aide (HHA) - Pediatrics (school hours),https://jobs.bayada.com/en/jobs?gh_jid=7567677002,"New Enterprise, PA 16664 | 40.177096727 | -78.423032655","est. $30,000 - $40,000 per year","Certified Nursing Assistant (CNA) or Home Health Aide (HHA) position in New Enterprise, Pennsylvania. Requires CNA training and current license. Full-time role focused on pediatric clients with flexible scheduling.",FALSE,BAYADA Home Health Care
Certified Nursing Assistant (CNA) or Home Health Aide (HHA) - Pediatrics(school hours),https://jobs.bayada.com/en/jobs?gh_jid=7567656002,"Bedford, PA 15522 | 39.99754413 | -78.524634104","est. $30,000 - $40,000 per year","Certified Nursing Assistant (CNA) or Home Health Aide (HHA) position in Bedford, Pennsylvania. Requires experience or CNA certification. Full-time role with a focus on pediatric clients.",FALSE,BAYADA Home Health Care
Certified Nursing Assistant (CNA) or Home Health Aide (HHA) - Pediatrics(school hours),https://jobs.bayada.com/en/jobs?gh_jid=7567656002,"Bedford, PA 15522 | 39.99754413 | -78.524634104","est. $30,000 - $40,000 per year","Certified Nursing Assistant (CNA) or Home Health Aide (HHA) position in Bedford, Pennsylvania. Requires experience or CNA certification. Full-time role with a focus on pediatric clients.",FALSE,BAYADA Home Health Care
HHA-Adult Home Care-8-12 hour Shifts,https://jobs.bayada.com/en/jobs?gh_jid=7556144002,"East Norriton, PA 19401 | 40.12560837 | -75.335389006","est. $33,280 - $41,600 per year","HHA-Adult Home Care position in East Norriton, Pennsylvania. Requires experience in home care, CNA license, or nursing student status. Full-time and part-time shifts available. Salary estimated between $33,280 - $41,600 per year.",FALSE,BAYADA Home Health Care
HHA-Adult Home Care-8-12 hour Shifts,https://jobs.bayada.com/en/jobs?gh_jid=7556144002,"East Norriton, PA 19401 | 40.12560837 | -75.335389006","est. $33,280 - $41,600 per year","HHA-Adult Home Care position in East Norriton, Pennsylvania. Requires experience in home care, CNA license, or nursing student status. Full-time and part-time shifts available. Salary estimated between $33,280 - $41,600 per year.",FALSE,BAYADA Home Health Care
HHA-Adult Home Care-8-12 hour Shifts,https://jobs.bayada.com/en/jobs?gh_jid=7556144002,"East Norriton, PA 19401 | 40.12560837 | -75.335389006","est. $33,280 - $41,600 per year","HHA-Adult Home Care position in East Norriton, Pennsylvania. Requires experience in home care, CNA license, or nursing student status. Full-time and part-time shifts available. Salary estimated between $33,280 - $41,600 per year.",FALSE,BAYADA Home Health Care
HHA-Adult Home Care-8-12 hour Shifts,https://jobs.bayada.com/en/jobs?gh_jid=7556144002,"East Norriton, PA 19401 | 40.12560837 | -75.335389006","est. $33,280 - $41,600 per year","HHA-Adult Home Care position in East Norriton, Pennsylvania. Requires experience in home care, CNA license, or nursing student status. Full-time and part-time shifts available. Salary estimated between $33,280 - $41,600 per year.",FALSE,BAYADA Home Health Care
HHA-Adult Home Care-8-12 hour Shifts,https://jobs.bayada.com/en/jobs?gh_jid=7556144002,"East Norriton, PA 19401 | 40.12560837 | -75.335389006","est. $33,280 - $41,600 per year","HHA-Adult Home Care position in East Norriton, Pennsylvania. Requires experience in home care, CNA license, or nursing student status. Full-time and part-time shifts available. Salary estimated between $33,280 - $41,600 per year.",FALSE,BAYADA Home Health Care
HHA-Adult Home Care-8-12 hour Shifts,https://jobs.bayada.com/en/jobs?gh_jid=7556144002,"East Norriton, PA 19401 | 40.12560837 | -75.335389006","est. $33,280 - $41,600 per year","HHA-Adult Home Care position in East Norriton, Pennsylvania. Requires experience in home care, CNA license, or nursing student status. Full-time and part-time shifts available. Salary estimated between $33,280 - $41,600 per year.",FALSE,BAYADA Home Health Care
HHA-Adult Home Care-8-12 hour Shifts,https://jobs.bayada.com/en/jobs?gh_jid=7556144002,"East Norriton, PA 19401 | 40.12560837 | -75.335389006","est. $33,280 - $41,600 per year","HHA-Adult Home Care position in East Norriton, Pennsylvania. Requires experience in home care, CNA license, or nursing student status. Full-time and part-time shifts available. Salary estimated between $33,280 - $41,600 per year.",FALSE,BAYADA Home Health Care
HHA-Adult Home Care-8-12 hour Shifts,https://jobs.bayada.com/en/jobs?gh_jid=7556144002,"East Norriton, PA 19401 | 40.12560837 | -75.335389006","est. $33,280 - $41,600 per year","HHA-Adult Home Care position in East Norriton, Pennsylvania. Requires experience in home care, CNA license, or nursing student status. Full-time and part-time shifts available. Salary estimated between $33,280 - $41,600 per year.",FALSE,BAYADA Home Health Care
Homemaker - Assisting Elders - Flexible Day Hours,https://jobs.bayada.com/en/jobs?gh_jid=7559541002,"Barnstable, MA 02630 | 41.700356715 | -70.301232788","est. $40,000 - $50,000 per year","Homemaker position in Barnstable, Massachusetts, providing assistance to seniors. Requires one year of experience and reliable transportation. Full-time with flexible scheduling and paid training.",FALSE,BAYADA Home Health Care
Homemaker - Assisting Elders - Flexible Day Hours,https://jobs.bayada.com/en/jobs?gh_jid=7559541002,"Barnstable, MA 02630 | 41.700356715 | -70.301232788","est. $40,000 - $50,000 per year","Homemaker position in Barnstable, Massachusetts, providing assistance to seniors. Requires one year of experience and reliable transportation. Full-time with flexible scheduling and paid training.",FALSE,BAYADA Home Health Care
Homemaker - Assisting Elders - Flexible Day Hours,https://jobs.bayada.com/en/jobs?gh_jid=7559541002,"Barnstable, MA 02630 | 41.700356715 | -70.301232788","est. $40,000 - $50,000 per year","Homemaker position in Barnstable, Massachusetts, providing assistance to seniors. Requires one year of experience and reliable transportation. Full-time with flexible scheduling and paid training.",FALSE,BAYADA Home Health Care
Homemaker - Assisting Elders - Flexible Day Hours,https://jobs.bayada.com/en/jobs?gh_jid=7559541002,"Barnstable, MA 02630 | 41.700356715 | -70.301232788","est. $40,000 - $50,000 per year","Homemaker position in Barnstable, Massachusetts, providing assistance to seniors. Requires one year of experience and reliable transportation. Full-time with flexible scheduling and paid training.",FALSE,BAYADA Home Health Care
Sales Assistant,https://job-boards.greenhouse.io/tegnainc/jobs/4398028007,"Atlanta, Georgia, United States","est. $40,000 - $60,000 per year","Sales Assistant position in Atlanta, Georgia requiring administrative, computer, and sales support experience. Responsibilities include order entry, client schedule maintenance, customer service, and campaign analysis. Requires 1 year of experience and a degree in marketing or related field.",FALSE,Tegna Inc
Inbound Sales Development Representative,https://job-boards.greenhouse.io/semgrep/jobs/4324986007,"San Francisco, CA","est. $53,000 - $63,000 per year","Inbound Sales Development Representative position in San Francisco, California. Requires strong communication, organization skills, and a Bachelor's degree. Full-time role in a startup focused on software security.",FALSE,semgrep
Thermal Engineer — Associate Program (Fall 2024),https://job-boards.greenhouse.io/astranis/jobs/4318075006,San Francisco ,"est. $91,000 - $91,000 per year","Thermal Engineer — Associate Program (Fall 2024) in San Francisco. Requires Bachelor's degree in mechanical or aerospace engineering. Skills in CAD, thermal analysis, and hardware development preferred. Full-time position at a startup focused on aerospace technology.",FALSE,Astranis
Future Openings - General Interest,https://job-boards.greenhouse.io/runelabs/jobs/4285963004,US & Canada,"est. $70,000 - $120,000 per year","Future Openings at Rune Labs, a remote software and data analytics company in the US and Canada. Seeking entry-level professionals for internships in data science and neuroscience.",FALSE,Rune Labs
Join our Business Talent Community,https://job-boards.greenhouse.io/rapidsos/jobs/4384624007,"New York, NY","est. $70,000 - $90,000 per year","Join RapidSOS’s Business Talent Community in New York, NY. Seeking candidates with strong work ethic, multitasking ability, and self-motivation for future business roles in a rapidly growing start-up. Full-time position in the technology industry.",FALSE,RapidSOS
Join our Go-To-Market Talent Community,https://job-boards.greenhouse.io/rapidsos/jobs/4413912007,"New York, NY","est. $70,000 - $90,000 per year","Join RapidSOS as part of the Go-To-Market Talent Community in New York, NY. Seeking candidates with strong work ethic, multitasking abilities, and a collaborative spirit. Full-time role in a rapidly growing startup focused on technology and emergency response.",FALSE,RapidSOS
Join our Public Sector Talent Community,https://job-boards.greenhouse.io/rapidsos/jobs/4386921007,"New York, NY","est. $70,000 - $90,000 per year","Join RapidSOS’s Talent Community for future Public Sector Group roles in New York. Seeking individuals with strong work ethic, multitasking ability, and a collaborative mindset. Full-time position at a rapidly growing startup in the technology industry.",FALSE,RapidSOS
Operations Associate - Full-Time,https://boards.greenhouse.io/jackpocket/jobs/7564939002,"Austin, TX","est. $35,000 - $45,000 per year","Operations Associate position in Austin, Texas. Requires flexible schedule, detail-oriented, and strong communication skills. Full-time role in a startup environment.",FALSE,Jackpocket
"Business Development Representative, Enterprise",https://boards.greenhouse.io/braze/jobs/6136037?gh_jid=6136037,Chicago,"est. $42,600 - $55,500 per year","Business Development Representative position at Braze in Chicago, requiring skills in communication, research, and adaptability. Full-time role in a medium-sized technology company with hybrid work schedule and estimated salary range of $42,600 - $55,500 per year.",FALSE,braze
"Customer Support Associate, Bilingual Malay (Starlink)",https://boards.greenhouse.io/spacex/jobs/7535391002?gh_jid=7535391002,"Redmond, WA","est. $49,920 - $55,040 per year","Customer Support Associate position in Redmond, Washington requiring bilingual Malay and English skills, with 1+ years of customer support experience. Full-time role in a large aerospace company focused on delivering broadband internet through Starlink.",FALSE,Spacex
"Customer Support Associate, Bilingual Norwegian (Starlink)",https://boards.greenhouse.io/spacex/jobs/7535366002?gh_jid=7535366002,"Redmond, WA","est. $50,000 - $55,000 per year","Customer Support Associate position in Redmond, Washington requiring bilingual Norwegian and English skills, with 1+ years of customer support experience. Full-time role in a large aerospace company, focusing on customer issue resolution and support interventions.",FALSE,Spacex
"Customer Support Associate, Bilingual Swedish (Starlink)",https://boards.greenhouse.io/spacex/jobs/7535344002?gh_jid=7535344002,"Redmond, WA","est. $50,000 - $55,000 per year","Customer Support Associate position in Redmond, Washington requiring bilingual Swedish and English skills, with 1+ years of customer support experience. Full-time role in the aerospace industry focused on troubleshooting and resolving customer issues.",FALSE,Spacex
Electrical Engineer (Starship Avionics),https://boards.greenhouse.io/spacex/jobs/7535347002?gh_jid=7535347002,"Starbase, TX","est. $100,000 - $135,000 per year","Electrical Engineer at SpaceX in Starbase, Texas focusing on high-reliability electronics for rockets and spacecraft. Requires Bachelor's degree in electrical engineering and 1+ years of relevant experience. Full-time position with a salary range estimated between $100,000 and $135,000 per year.",FALSE,Spacex
Electrical Integration & Test Engineer (Starshield),https://boards.greenhouse.io/spacex/jobs/7568636002?gh_jid=7568636002,"Hawthorne, CA","est. $100,000 - $135,000 per year","Electrical Integration & Test Engineer position at SpaceX in Hawthorne, California. Requires Bachelor's degree in engineering or physics, 1+ years of experience, skills in design and manufacturing, and ability to obtain Top Secret clearance. Full-time role in the Aerospace industry.",FALSE,Spacex
LPN Care Coordinator,https://job-boards.greenhouse.io/medelitellc/jobs/4045425008,"Hollywood, FL","$60,000 - $65,000 per year","LPN Care Coordinator position in Hollywood, Florida. Requires LPN certificate, 6 months clinical experience, and strong communication skills. Full-time role in a medium-sized healthcare company.",FALSE,MedElite LLC
LPN Care Coordinator,https://job-boards.greenhouse.io/medelitellc/jobs/4030198008,"Hollywood, FL","$60,000 - $65,000 per year","LPN Care Coordinator position in Hollywood, Florida. Requires LPN certificate, full-time availability, and 6 months clinical experience. Skills in communication, time management, and technology are essential.",FALSE,MedElite LLC
Assistant Montessori Guide,https://boards.greenhouse.io/guidepostmontessori/jobs/6115224,"Spring, Texas","est. $30,000 - $40,000 per year","Assistant Montessori Guide position in Spring, Texas, focusing on working with young children, requiring experience with ages 0-6, full-time hours, and offering benefits including health insurance and tuition discount.",FALSE,Guidepost Montessori
Assistant Preschool Teacher,https://boards.greenhouse.io/guidepostmontessori/jobs/6115201,"The Woodlands, Texas","est. $30,000 - $40,000 per year","Assistant Preschool Teacher position in The Woodlands, Texas, requiring experience with children ages 0-6 and interpersonal skills. Full-time role with benefits including health insurance and tuition discounts.",FALSE,Guidepost Montessori
Assistant Preschool Teacher,https://boards.greenhouse.io/guidepostmontessori/jobs/6115200,"Spring, Texas","est. $30,000 - $40,000 per year","Assistant Preschool Teacher position in Spring, Texas. Full-time role focused on working with children ages 0-6, requiring strong interpersonal skills and a willingness to learn. Benefits include health insurance, 401K, and tuition discounts.",FALSE,Guidepost Montessori
Assistant Teacher,https://boards.greenhouse.io/guidepostmontessori/jobs/6126604,"Voorhees, NJ","est. $31,200 - $35,360 per year","Assistant Teacher position in Voorhees, New Jersey, focusing on Montessori education for children under 6 years old. No prior training necessary as training will be provided. Full-time role with a salary estimate of $31,200 - $35,360 per year.",FALSE,Guidepost Montessori
Primary Care Nurse Practitioner,https://job-boards.greenhouse.io/medelitellc/jobs/4017944008,"Gettysburg, PA","$90,000 - $120,000 per year","Primary Care Nurse Practitioner position in Gettysburg, Pennsylvania. Requires Nurse Practitioner and DEA licenses with 6 months experience in long-term care. Full-time role focused on providing comprehensive care in skilled nursing facilities.",FALSE,MedElite LLC
Assistant Teacher,https://boards.greenhouse.io/guidepostmontessori/jobs/6110615,"Bethesda, MD","est. $35,360 - $41,600 per year","Assistant Teacher position in Bethesda, MD focusing on early childhood education, Montessori methods, and supporting Lead Teachers. Full-time and part-time roles available with a salary range of $17 - $20/hr.",FALSE,Guidepost Montessori
Montessori Assistant Teacher,https://boards.greenhouse.io/guidepostmontessori/jobs/6139181,"Katy, Texas","est. $30,000 - $45,000 per year","Montessori Assistant Teacher position in Katy, Texas, requiring experience with children ages 0-3, full-time role with benefits and opportunities for growth in Montessori education.",FALSE,Guidepost Montessori
Montessori Infant Teacher ,https://boards.greenhouse.io/guidepostmontessori/jobs/6113372,"Wilton, Connecticut","est. $40,000 - $60,000 per year","Montessori Infant Teacher position in Wilton, Connecticut. Seeking candidates with Early Childhood Education experience and a passion for child development. Full-time role offering professional development and growth opportunities.",FALSE,Guidepost Montessori
